Country,ISO3 Code,Date,Price (EUR/MWhe)
Czechia,CZE,2019-02-01,45.1
Czechia,CZE,2019-03-01,33.03
Czechia,CZE,2019-04-01,38.01
Czechia,CZE,2019-05-01,37.87
Czechia,CZE,2019-06-01,33.84
Czechia,CZE,2019-07-01,42.05
Czechia,CZE,2019-08-01,39.77
Czechia,CZE,2019-09-01,39.73
Czechia,CZE,2019-10-01,38.73
Czechia,CZE,2019-11-01,42.21
Czechia,CZE,2019-12-01,37.27
Czechia,CZE,2020-01-01,41.81
Czechia,CZE,2020-02-01,30.54
Czechia,CZE,2020-03-01,25.41
Czechia,CZE,2020-04-01,19.24
Czechia,CZE,2020-05-01,18.1
Czechia,CZE,2020-06-01,26.34
Czechia,CZE,2020-07-01,32.77
Czechia,CZE,2020-08-01,34.58
Czechia,CZE,2020-09-01,44.89
Czechia,CZE,2020-10-01,36.35
Czechia,CZE,2020-11-01,41.41
Czechia,CZE,2020-12-01,51.49
Czechia,CZE,2021-01-01,56.16
Czechia,CZE,2021-02-01,50.68
Czechia,CZE,2021-03-01,53.74
Czechia,CZE,2021-04-01,60.28
Czechia,CZE,2021-05-01,59.29
Czechia,CZE,2021-06-01,75.14
Czechia,CZE,2021-07-01,85.0
Czechia,CZE,2021-08-01,84.99
Czechia,CZE,2021-09-01,129.71
Czechia,CZE,2021-10-01,140.62
Czechia,CZE,2021-11-01,180.31
Czechia,CZE,2021-12-01,228.59
Czechia,CZE,2022-01-01,179.72
Czechia,CZE,2022-02-01,155.03
Czechia,CZE,2022-03-01,259.82
Czechia,CZE,2022-04-01,174.35
Czechia,CZE,2022-05-01,189.02
Czechia,CZE,2022-06-01,224.96
Czechia,CZE,2022-07-01,319.64
Czechia,CZE,2022-08-01,476.73
Czechia,CZE,2022-09-01,364.45
Czechia,CZE,2022-10-01,168.06
Czechia,CZE,2022-11-01,197.08
Czechia,CZE,2022-12-01,250.42
Czechia,CZE,2023-01-01,134.81
Czechia,CZE,2023-02-01,139.25
Czechia,CZE,2023-03-01,110.7
Czechia,CZE,2023-04-01,105.76
Germany,DEU,2015-01-01,31.68
Germany,DEU,2015-02-01,36.69
Germany,DEU,2015-03-01,31.3
Germany,DEU,2015-04-01,29.78
Germany,DEU,2015-05-01,25.33
Germany,DEU,2015-06-01,30.11
Germany,DEU,2015-07-01,34.98
Germany,DEU,2015-08-01,31.61
Germany,DEU,2015-09-01,31.89
Germany,DEU,2015-10-01,39.37
Germany,DEU,2015-11-01,32.38
Germany,DEU,2015-12-01,27.79
Germany,DEU,2016-01-01,29.03
Germany,DEU,2016-02-01,22.0
Germany,DEU,2016-03-01,24.3
Germany,DEU,2016-04-01,24.21
Germany,DEU,2016-05-01,22.55
Germany,DEU,2016-06-01,27.7
Germany,DEU,2016-07-01,27.18
Germany,DEU,2016-08-01,27.18
Germany,DEU,2016-09-01,30.51
Germany,DEU,2016-10-01,37.14
Germany,DEU,2016-11-01,38.21
Germany,DEU,2016-12-01,37.47
Germany,DEU,2017-01-01,52.41
Germany,DEU,2017-02-01,39.68
Germany,DEU,2017-03-01,31.69
Germany,DEU,2017-04-01,28.72
Germany,DEU,2017-05-01,30.61
Germany,DEU,2017-06-01,30.0
Germany,DEU,2017-07-01,33.01
Germany,DEU,2017-08-01,30.86
Germany,DEU,2017-09-01,34.3
Germany,DEU,2017-10-01,28.29
Germany,DEU,2017-11-01,40.38
Germany,DEU,2017-12-01,30.71
Germany,DEU,2018-01-01,29.5
Germany,DEU,2018-02-01,40.12
Germany,DEU,2018-03-01,37.36
Germany,DEU,2018-04-01,31.96
Germany,DEU,2018-05-01,33.66
Germany,DEU,2018-06-01,42.39
Germany,DEU,2018-07-01,49.59
Germany,DEU,2018-08-01,56.22
Germany,DEU,2018-09-01,54.76
Germany,DEU,2018-10-01,53.08
Germany,DEU,2018-11-01,56.68
Germany,DEU,2018-12-01,48.11
Germany,DEU,2019-01-01,49.41
Germany,DEU,2019-02-01,42.81
Germany,DEU,2019-03-01,30.61
Germany,DEU,2019-04-01,36.97
Germany,DEU,2019-05-01,37.83
Germany,DEU,2019-06-01,32.5
Germany,DEU,2019-07-01,39.71
Germany,DEU,2019-08-01,36.82
Germany,DEU,2019-09-01,35.77
Germany,DEU,2019-10-01,36.95
Germany,DEU,2019-11-01,41.0
Germany,DEU,2019-12-01,31.97
Germany,DEU,2020-01-01,34.98
Germany,DEU,2020-02-01,21.91
Germany,DEU,2020-03-01,22.52
Germany,DEU,2020-04-01,17.05
Germany,DEU,2020-05-01,17.6
Germany,DEU,2020-06-01,26.23
Germany,DEU,2020-07-01,30.07
Germany,DEU,2020-08-01,34.89
Germany,DEU,2020-09-01,43.68
Germany,DEU,2020-10-01,33.96
Germany,DEU,2020-11-01,38.8
Germany,DEU,2020-12-01,43.55
Germany,DEU,2021-01-01,52.79
Germany,DEU,2021-02-01,48.71
Germany,DEU,2021-03-01,47.18
Germany,DEU,2021-04-01,53.66
Germany,DEU,2021-05-01,53.33
Germany,DEU,2021-06-01,74.13
Germany,DEU,2021-07-01,81.29
Germany,DEU,2021-08-01,82.81
Germany,DEU,2021-09-01,128.34
Germany,DEU,2021-10-01,139.54
Germany,DEU,2021-11-01,176.25
Germany,DEU,2021-12-01,220.96
Germany,DEU,2022-01-01,167.87
Germany,DEU,2022-02-01,128.78
Germany,DEU,2022-03-01,251.76
Germany,DEU,2022-04-01,166.0
Germany,DEU,2022-05-01,177.51
Germany,DEU,2022-06-01,218.18
Germany,DEU,2022-07-01,315.26
Germany,DEU,2022-08-01,469.35
Germany,DEU,2022-09-01,360.18
Germany,DEU,2022-10-01,157.78
Germany,DEU,2022-11-01,175.45
Germany,DEU,2022-12-01,256.66
Germany,DEU,2023-01-01,135.59
Germany,DEU,2023-02-01,128.39
Germany,DEU,2023-03-01,102.4
Germany,DEU,2023-04-01,100.83
Denmark,DNK,2015-01-01,27.12
Denmark,DNK,2015-02-01,29.94
Denmark,DNK,2015-03-01,26.88
Denmark,DNK,2015-04-01,25.91
Denmark,DNK,2015-05-01,22.56
Denmark,DNK,2015-06-01,20.06
Denmark,DNK,2015-07-01,13.69
Denmark,DNK,2015-08-01,22.74
Denmark,DNK,2015-09-01,22.82
Denmark,DNK,2015-10-01,26.49
Denmark,DNK,2015-11-01,25.52
Denmark,DNK,2015-12-01,19.21
Denmark,DNK,2016-01-01,27.4
Denmark,DNK,2016-02-01,18.79
Denmark,DNK,2016-03-01,21.39
Denmark,DNK,2016-04-01,22.07
Denmark,DNK,2016-05-01,23.81
Denmark,DNK,2016-06-01,30.58
Denmark,DNK,2016-07-01,27.69
Denmark,DNK,2016-08-01,28.63
Denmark,DNK,2016-09-01,29.75
Denmark,DNK,2016-10-01,34.65
Denmark,DNK,2016-11-01,38.66
Denmark,DNK,2016-12-01,29.7
Denmark,DNK,2017-01-01,32.07
Denmark,DNK,2017-02-01,30.98
Denmark,DNK,2017-03-01,29.45
Denmark,DNK,2017-04-01,27.97
Denmark,DNK,2017-05-01,29.38
Denmark,DNK,2017-06-01,28.49
Denmark,DNK,2017-07-01,31.72
Denmark,DNK,2017-08-01,33.37
Denmark,DNK,2017-09-01,35.5
Denmark,DNK,2017-10-01,29.23
Denmark,DNK,2017-11-01,33.69
Denmark,DNK,2017-12-01,28.33
Denmark,DNK,2018-01-01,31.09
Denmark,DNK,2018-02-01,38.77
Denmark,DNK,2018-03-01,39.96
Denmark,DNK,2018-04-01,35.95
Denmark,DNK,2018-05-01,36.14
Denmark,DNK,2018-06-01,46.33
Denmark,DNK,2018-07-01,52.63
Denmark,DNK,2018-08-01,56.15
Denmark,DNK,2018-09-01,50.61
Denmark,DNK,2018-10-01,48.79
Denmark,DNK,2018-11-01,54.3
Denmark,DNK,2018-12-01,47.66
Denmark,DNK,2019-01-01,50.88
Denmark,DNK,2019-02-01,43.25
Denmark,DNK,2019-03-01,34.4
Denmark,DNK,2019-04-01,39.41
Denmark,DNK,2019-05-01,37.7
Denmark,DNK,2019-06-01,33.15
Denmark,DNK,2019-07-01,38.92
Denmark,DNK,2019-08-01,38.49
Denmark,DNK,2019-09-01,36.15
Denmark,DNK,2019-10-01,39.53
Denmark,DNK,2019-11-01,42.11
Denmark,DNK,2019-12-01,34.55
Denmark,DNK,2020-01-01,25.88
Denmark,DNK,2020-02-01,18.07
Denmark,DNK,2020-03-01,18.91
Denmark,DNK,2020-04-01,15.62
Denmark,DNK,2020-05-01,17.17
Denmark,DNK,2020-06-01,27.56
Denmark,DNK,2020-07-01,25.17
Denmark,DNK,2020-08-01,36.93
Denmark,DNK,2020-09-01,38.84
Denmark,DNK,2020-10-01,26.16
Denmark,DNK,2020-11-01,28.26
Denmark,DNK,2020-12-01,36.4
Denmark,DNK,2021-01-01,50.44
Denmark,DNK,2021-02-01,50.06
Denmark,DNK,2021-03-01,45.73
Denmark,DNK,2021-04-01,47.99
Denmark,DNK,2021-05-01,54.62
Denmark,DNK,2021-06-01,73.73
Denmark,DNK,2021-07-01,80.46
Denmark,DNK,2021-08-01,83.49
Denmark,DNK,2021-09-01,124.76
Denmark,DNK,2021-10-01,112.93
Denmark,DNK,2021-11-01,139.97
Denmark,DNK,2021-12-01,189.96
Denmark,DNK,2022-01-01,115.64
Denmark,DNK,2022-02-01,108.21
Denmark,DNK,2022-03-01,232.72
Denmark,DNK,2022-04-01,159.66
Denmark,DNK,2022-05-01,168.51
Denmark,DNK,2022-06-01,214.16
Denmark,DNK,2022-07-01,259.55
Denmark,DNK,2022-08-01,454.45
Denmark,DNK,2022-09-01,336.76
Denmark,DNK,2022-10-01,137.08
Denmark,DNK,2022-11-01,141.92
Denmark,DNK,2022-12-01,248.97
Denmark,DNK,2023-01-01,107.57
Denmark,DNK,2023-02-01,111.36
Denmark,DNK,2023-03-01,95.27
Denmark,DNK,2023-04-01,91.44
Spain,ESP,2015-01-01,51.54
Spain,ESP,2015-02-01,42.61
Spain,ESP,2015-03-01,43.08
Spain,ESP,2015-04-01,45.39
Spain,ESP,2015-05-01,45.15
Spain,ESP,2015-06-01,54.75
Spain,ESP,2015-07-01,59.53
Spain,ESP,2015-08-01,55.61
Spain,ESP,2015-09-01,51.87
Spain,ESP,2015-10-01,49.89
Spain,ESP,2015-11-01,51.22
Spain,ESP,2015-12-01,52.59
Spain,ESP,2016-01-01,36.51
